State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
United States,,,,,,231556622.32,251107404.00,0.08,1493706.00,2298993.00,461472.00,3242614.08,4739595.99,US
Alabama,,,,,,3606102.76,3773719.00,0.03,31691.00,53640.00,8097.00,69826.40,,AL
Alaska,,,,,,519500.88,554802.00,0.04,5216.00,7077.00,2210.00,11389.12,,AK
Arizona,,,,,,4738332.23,5332446.00,0.10,37516.00,73232.00,7502.00,86027.92,,AZ
Arkansas,,,,,,2148440.71,2290976.00,0.04,17756.00,28192.00,21743.00,55286.52,,AR
California,,,,,,25278802.78,30523307.00,0.17,136088.00,0.00,0.00,136088.00,,CA
Colorado,,,,,,3978892.39,4319529.00,0.07,19121.00,0.00,10067.00,29188.00,,CO
Connecticut,,,,,,2572337.45,2834267.00,0.09,16113.00,0.00,2564.00,18677.00,,CT
Delaware,,,,,,693658.78,755123.00,0.06,6625.00,15665.00,676.00,16073.40,,DE
District of Columbia,,,,,,516770.97,568165.00,0.09,0.00,0.00,0.00,0.00,,DC
Florida,,,,,,14601373.03,16601383.00,0.11,95671.00,227087.00,4519.00,227358.72,,FL
Georgia,,,,,,6958724.66,7852857.00,0.07,50499.00,471067.00,25547.00,339843.52,,GA
Hawaii,,,,,,1029072.19,1133641.00,0.09,5721.00,0.00,0.00,5721.00,,HI
Idaho,,,,,,1161211.20,1247038.00,0.04,7901.00,33450.00,4217.00,30850.00,,ID
Illinois,,,,,,8983758.30,9913610.00,0.09,46465.00,0.00,0.00,46465.00,,IL
Indiana,,,,,,4860929.24,5073952.00,0.04,28638.00,0.00,0.00,28638.00,,IN
Iowa,,,,,,2297128.57,2413678.00,0.04,8686.00,29929.00,5769.00,31215.24,,IA
Kansas,,,,,,2065761.34,2206389.00,0.05,9326.00,16328.00,4051.00,22520.68,,KS
Kentucky,,,,,,3276706.94,3430201.00,0.02,21402.00,54107.00,16729.00,68430.92,,KY
Louisiana,,,,,,3391430.57,3582215.00,0.03,37881.00,40979.00,29619.00,90448.24,,LA
Maine,,,,,,1058306.38,1075396.00,0.02,0.00,0.00,0.00,0.00,,ME
Maryland,,,,,,4202281.62,4701258.00,0.09,20388.00,79539.00,11537.00,76466.84,,MD
Massachusetts,,,,,,4978165.19,5477195.00,0.09,10014.00,0.00,0.00,10014.00,,MA
Michigan,,,,,,7431588.64,7754185.00,0.04,42900.00,0.00,0.00,42900.00,,MI
Minnesota,,,,,,3972330.01,4245020.00,0.05,10003.00,97661.00,6642.00,71335.16,,MN
Mississippi,,,,,,2177348.89,2269052.00,0.02,18756.00,34398.00,9883.00,47901.88,,MS
Missouri,,,,,,4519978.44,4720503.00,0.03,31432.00,47303.00,18495.00,76416.68,,MO
Montana,,,,,,803832.76,817161.00,0.01,3681.00,0.00,0.00,3681.00,,MT
Nebraska,,,,,,1353558.39,1440465.00,0.05,5221.00,12940.00,1067.00,13534.40,,NE
Nevada,,,,,,1970426.17,2282757.00,0.13,12537.00,12027.00,5927.00,25199.12,,NV
New Hampshire,,,,,,1041146.90,1075861.00,0.03,2867.00,0.00,0.00,2867.00,,NH
New Jersey,,,,,,6093144.03,7003323.00,0.12,20255.00,115898.00,14889.00,100046.88,,NJ
New Mexico,,,,,,1459901.31,1594305.00,0.07,6879.00,16060.00,2255.00,18127.60,,NM
New York,,,,,,13693127.68,15675178.00,0.12,48376.00,0.00,44889.00,93265.00,,NY
North Carolina,,,,,,7317507.38,7879993.00,0.06,35726.00,90918.00,10025.00,96665.08,,NC
North Dakota,,,,,,582534.14,599062.00,0.02,1700.00,0.00,0.00,1700.00,,ND
Ohio,,,,,,8753268.52,9023729.00,0.02,51024.00,0.00,0.00,51024.00,,OH
Oklahoma,,,,,,2792423.12,2982904.00,0.05,27650.00,28568.00,2560.00,46208.08,,OK
Oregon,,,,,,3006638.17,3237993.00,0.07,15075.00,0.00,0.00,15075.00,,OR
Pennsylvania,,,,,,9737690.19,10146780.00,0.04,49643.00,0.00,0.00,49643.00,,PA
Rhode Island,,,,,,786111.28,849165.00,0.07,3294.00,0.00,0.00,3294.00,,RI
South Carolina,,,,,,3702997.35,3880323.00,0.03,20917.00,35096.00,5225.00,45795.76,,SC
South Dakota,,,,,,632098.35,652981.00,0.02,3528.00,0.00,2611.00,6139.00,,SD
Tennessee,,,,,,4900137.50,5166504.00,0.04,28495.00,62950.00,13498.00,77245.00,,TN
Texas,,,,,,17514961.02,20812008.00,0.14,157361.00,388101.00,111412.00,486109.56,,TX
Utah,,,,,,1993581.34,2142938.00,0.07,6824.00,0.00,0.00,6824.00,,UT
Vermont,,,,,,496439.13,507643.00,0.02,0.00,0.00,0.00,0.00,,VT
Virginia,,,,,,6061031.96,6586434.00,0.07,36943.00,54966.00,1732.00,69455.96,,VA
Washington,,,,,,5123524.50,5691442.00,0.09,17345.00,94112.00,9880.00,79927.72,,WA
West Virginia,,,,,,1430308.36,1457003.00,0.01,6873.00,7174.00,2749.00,13639.44,,WV
Wisconsin,,,,,,4295056.93,4502492.00,0.03,22097.00,46212.00,20010.00,67985.72,,WI
Wyoming,,,,,,431011.34,449055.00,0.03,2330.00,5196.00,715.00,5954.76,,WY
