State,Margin
Alabama,-.2219
Alaska,-.1399
Arizona,-.906
Arkansas,-.2369
California,.2312
Colorado,.0537
Connecticut,.1733
District of Columbia,.8363
Delaware,.1863
Florida,.0088
Georgia,-.0782
Hawaii,.4271
Idaho,-.3191
Illinois,.1687
Indiana,-.1020
Iowa,.0581
Kansas,-.2172
Kentucky,-.2269
Louisiana,-.1721
Maine,.1529
Maine 1st District,.2139
Maine 2nd District,.0856
Maryland,.2608
Massachusetts,.2314
Michigan,.0950
Minnesota,.0769
Mississippi,-.1150
Missouri,-.0938
Montana,-.1365
Nebraska,-.2178
Nebraska 1st District,-.1665
Nebraska 2nd District,-.0717
Nebraska 3rd District,-.4261
Nevada,.0668
New Hampshire,.0558
New Jersey,.1781
New Mexico,.1015
New York,.2818
North Carolina,-.0204
North Dakota,-.1963
Ohio,.0298
Oklahoma,-.3354
Oregon,.1209
Pennsylvania,.0539
Rhode Island,.2746
South Carolina,-.1047
South Dakota,-.1802
Tennessee,-.2040
Texas,-.1578
Utah,-.4804
Vermont,.3560
Virginia,.0387
Washington,.1487
West Virginia,-.2676
Wisconsin,.0694
Wyoming,-.4082
